id,product_url,color,size,width,brand_name_en,model_name,classification,purchaseCount,avgRating,qty,wishlistCount,market_price,lenskart_price,offerName,subCollection,subCollectionId
200211,https://www.lenskart.com/lenskart-air-la-e14796-c1-eyeglasses.html,Grey,Wide,140 mm,Lenskart Air,LA E14796,eyeframe,1639,4.4,29,0,1700,1700,VCEYE,AIR ESSENTIALS,26802.0
205882,https://www.lenskart.com/john-jacobs-jj-e15265-c1-eyeglasses.html,Silver,Narrow,132 mm,John Jacobs,JJ E15265,eyeframe,1014,5.0,660,0,3500,3500,JJEYE,GILDED JEWELS,26181.0
206144,https://www.lenskart.com/john-jacobs-jj-e15327-c1-eyeglasses.html,Gold Tortoise,Extra Wide,143 mm,John Jacobs,JJ E15327,eyeframe,818,5.0,265,0,5000,5000,JJEYE,JJ Rhapsody,26341.0
206789,https://www.lenskart.com/john-jacobs-jj-e12736-c8-eyeglasses.html,Silver,Narrow,133 mm,John Jacobs Online,JJ E12736,eyeframe,1506,0.0,3785,0,3500,3500,JJEYE,Supreme Steel,26271.0
208124,https://www.lenskart.com/john-jacobs-jj-e15552-c3-eyeglasses.html,Brown,Narrow,132 mm,John Jacobs,JJ E15552,eyeframe,604,3.0,219,0,5000,5000,JJEYE,Coastline,26721.0
212623,https://www.lenskart.com/lenskart-blu-lb-e16411-c1-eyeglasses.html,Blue,Extra Wide,142 mm,Lenskart Blu,LB E16411,non_power_reading,365,0.0,78,0,1500,1500,LKBLUCE,BLUE BILLION,26601.0
215255,https://www.lenskart.com/john-jacobs-jj-e16621-c1-eyeglasses.html,Brown,Medium,137 mm,John Jacobs,JJ E16621,eyeframe,59,0.0,525,0,3500,3500,JJBOGO,Eco-Acetate,27191.0
138340,https://www.lenskart.com/john-jacobs-jj-e13103-c2-eyeglasses.html,Black,Medium,135 mm,John Jacobs,JJ E13103,eyeframe,8744,4.55,262,2808,3500,3500,JJBOGO,Supreme Steel,26271.0
139364,https://www.lenskart.com/vincent-chase-vc-s11470-c6-sunglasses.html,Silver,Medium,138 mm,Vincent Chase Polarized,VC S11470,sunglasses,8827,4.95,720,2779,2000,2000,VCSUN,The Metal Edit,26621.0
144902,https://www.lenskart.com/aqua-color-emerald-blue-monthly-color-2-lenses-box.html,,,,Aquacolor,Aquacolor Emerald Blue Zero Power Monthly,contact_lens,1804,5.0,49986,142,900,499,AQUACOLOR,,
144903,https://www.lenskart.com/aqua-color-olive-green-monthly-color-2-lenses-box.html,,,,Aquacolor,Aquacolor Olive Green Zero Power Monthly,contact_lens,1316,0.0,49960,132,900,499,AQUACOLOR,,
147611,https://www.lenskart.com/john-jacobs-jj-e13938-c3-eyeglasses.html,Sky Blue,Extra Wide,149 mm,John Jacobs,JJ E13938,eyeframe,868,5.0,745,0,5000,5000,JJBOGO,Pro Titanium,26191.0
147663,https://www.lenskart.com/john-jacobs-jj-s12504-c7-sunglasses.html,Gold,Wide,138 mm,John Jacobs,JJ S12504,sunglasses,2526,4.8,328,107,5000,5000,JJSUN,JJ Tints,26651.0
148974,https://www.lenskart.com/vincent-chase-vc-s14090-c3-c3-sunglasses.html,Black,Wide,143 mm,Vincent Chase Polarized,VC S14090,sunglasses,5474,4.8,8486,1338,2000,2000,VCSUN,Urban retro,25018.0
152255,https://www.lenskart.com/john-jacobs-jj-e14543-c1-eyeglasses.html,Black,Extra Wide,142 mm,John Jacobs,JJ E14543,eyeframe,571,0.0,707,0,5000,5000,JJBOGO,Pro Titanium,26191.0
