product_url,color,size,width,brand_name_en,model_name,classification,purchaseCount,avgRating,qty
https://www.lenskart.com/john-jacobs-jj-e12649-c2-full-rim-rectangle-acetate-eyeglasses.html,Transparent,Wide,141 mm,John Jacobs,JJ E12649,eyeframe,11283,4.45,415
https://www.lenskart.com/vincent-chase-vc-e11801-c19-eyeglasses.html,Grey,Extra Narrow,127 mm,Vincent Chase,VC E11801,eyeframe,1518,0.0,543
https://www.lenskart.com/john-jacobs-jj-s15452-c2-sunglasses.html,Gold,Wide,139 mm,John Jacobs,JJ S15452,sunglasses,3223,0.0,1925
https://www.lenskart.com/vincent-chase-vc-e16238-c2-eyeglasses.html,Tortoise,Medium,135 mm,Vincent Chase,VC E16238,eyeframe,1282,0.0,1028
https://www.lenskart.com/john-jacobs-jj-e11209-half-rim-rectangle-c4-eyeglasses.html,Gold,Medium,136 mm,John Jacobs,JJ E11209,eyeframe,13048,4.25,4430
https://www.lenskart.com/vincent-chase-vc-s15767-c1-sunglasses.html,Silver,Extra Wide,147 mm,Vincent Chase Polarized,VC S15767,sunglasses,2770,0.0,17
https://www.lenskart.com/john-jacobs-jj-s12807-c3-sunglasses.html,Grey,Wide,139 mm,John Jacobs,JJ S12807,sunglasses,9928,4.6,39
https://www.lenskart.com/vincent-chase-vc-e13924-c1-eyeglasses.html,Transparent,Medium,135 mm,Vincent Chase,VC E13924,eyeframe,18948,4.75,438
https://www.lenskart.com/vincent-chase-vc-e11260-l-c11-eyeglasses.html,Black,Wide,139 mm,Vincent Chase,VC E11260-L,eyeframe,1812,5.0,1083
https://www.lenskart.com/aqualens-comfort-combo-pack-360ml.html,,,,Aqualens,Aqualens Comfort Contact lens Solution 360 ml x 2,contact_lens_solution,113440,0.0,3247
https://www.lenskart.com/vincent-chase-vc-s16660-c1-sunglasses.html,Brown,Medium,139 mm,Vincent Chase Polarized,VC S16660,sunglasses,582,0.0,945
https://www.lenskart.com/vincent-chase-vc-s15753-c2-sunglasses.html,Silver,Wide,144 mm,Vincent Chase Polarized,VC S15753,sunglasses,3843,0.0,1496
https://www.lenskart.com/lenskart-air-la-e11415-c6-eyeglasses.html,Black,Wide,139 mm,Lenskart Air,LA E11415,eyeframe,3099,5.0,2224
https://www.lenskart.com/hooper-hp-s16593l-c3-sunglasses.html,Orange,5-8 yrs,124 mm,Hooper,HP S16593L,sunglasses,474,0.0,565
https://www.lenskart.com/hooper-hp-s16592l-c2-sunglasses.html,Black,8-12 yrs,127 mm,Hooper,HP S16592L,sunglasses,473,0.0,559
https://www.lenskart.com/lenskart-lk-e16372-c1-eyeglasses.html,Blue,Medium,134 mm,Lenskart STUDIO,LK E16372,eyeframe,2767,0.0,35
https://www.lenskart.com/lenskart-lk-s-16523-c1-sunglasses.html,Black,Medium,136 mm,Lenskart STUDIO,LK S16523,sunglasses,2263,0.0,56
https://www.lenskart.com/vincent-chase-vc-s15449-c2-sunglasses.html,Black,Extra Wide,150 mm,Vincent Chase Polarized,VC S15449,sunglasses,5521,5.0,3361
https://www.lenskart.com/vincent-chase-vc-s13118--w-c1-sunglasses.html,Black,Medium,139 mm,Vincent Chase Polarized,VC S13118-M,sunglasses,2046,0.0,550
https://www.lenskart.com/hooper-hp-s16591l-c3-sunglasses.html,Blue,5-8 yrs,124 mm,Hooper,HP S16591L,sunglasses,450,0.0,583
https://www.lenskart.com/lenskart-lk-e-16275-c1-eyeglasses.html,Black,5-8 yrs,120 mm,Hooper,LK E16275,eyeframe,1869,0.0,302
https://www.lenskart.com/vincent-chase-vc-s16466-c1-sunglasses.html,Silver,Medium,139 mm,Vincent Chase Polarized,VC S16466,sunglasses,1680,0.0,36
https://www.lenskart.com/john-jacobs-jj-s15568-c2-sunglasses.html,Tortoise,Extra Wide,144 mm,John Jacobs,JJ S15568,sunglasses,2049,3.0,89
https://www.lenskart.com/hooper-hp-s16089-c1-sunglasses.html,Transparent,8-12 yrs,129 mm,Hooper,HP S16089,sunglasses,1409,0.0,41
https://www.lenskart.com/vincent-chase-vc-s16535-c1-sunglasses.html,Silver,Medium,138 mm,Vincent Chase,VC S16535,sunglasses,522,0.0,667
https://www.lenskart.com/john-jacobs-jj-e13732-full-rim-c1-eyeglasses.html,Black,Medium,134 mm,John Jacobs,JJ E13732,eyeframe,3159,4.3,360
https://www.lenskart.com/vincent-chase-vc-s15762-c2-sunglasses.html,Silver,Wide,142 mm,Vincent Chase Polarized,VC S15762,sunglasses,2345,0.0,124
https://www.lenskart.com/hooper-hp-s16590m-c2-sunglasses.html,Blue,8-12 yrs,126 mm,Hooper,HP S16590M,sunglasses,459,0.0,584
https://www.lenskart.com/vincent-chase-vc-e14210-c2-eyeglasses.html,Blue,Wide,140 mm,Vincent Chase,VC E14210,eyeframe,21944,4.65,582
https://www.lenskart.com/vincent-chase-vc-e16649-c1-eyeglasses.html,Black,Medium,136 mm,Vincent Chase,VC E16649,eyeframe,471,0.0,1743
https://www.lenskart.com/lenskart-air-la-e16171-c1-eyeglasses.html,Gunmetal,Extra Narrow,129 mm,Lenskart Air,LA E16171,eyeframe,1857,0.0,209
https://www.lenskart.com/hooper-hp-s16589m-c2-sunglasses.html,Black,8-12 yrs,129 mm,Hooper,HP S16589M,sunglasses,454,0.0,588
https://www.lenskart.com/vincent-chase-vc-s11075-c10-sunglasses.html,Black,Medium,138 mm,Vincent Chase Polarized,VC S11075,sunglasses,13747,4.4,3312
https://www.lenskart.com/vincent-chase-vc-s15867-c2-sunglasses.html,Blue,Medium,138 mm,Vincent Chase Polarized,VC S15867,sunglasses,2177,0.0,70
