id,product_url,color,size,width,brand_name_en,model_name,classification,purchaseCount,avgRating,qty,wishlistCount,market_price,lenskart_price
148294,https://www.lenskart.com/john-jacobs-jj-e14007s-c1-eyeglasses.html,Transparent,Narrow,131 mm,John Jacobs Online,JJ E14007S,eyeframe,3343,4.65,1114,192,3500,3500
148298,https://www.lenskart.com/john-jacobs-jj-e14007xs-c2-eyeglasses.html,Black,Extra Narrow,125 mm,John Jacobs,JJ E14007XS,eyeframe,3896,5.0,221,200,3500,3500
148539,https://www.lenskart.com/vincent-chase-vc-e14044-c1-eyeglasses.html,Gunmetal,Wide,138 mm,Vincent Chase Online,VC E14044,eyeframe,4136,4.75,559,1198,1700,1700
205397,https://www.lenskart.com/lenskart-lk-e15180-c1-eyeglasses.html,Gold,Narrow,132 mm,Lenskart STUDIO,LK E15180,eyeframe,3433,0.0,37,0,2000,2000
205887,https://www.lenskart.com/john-jacobs-jj-e15268-c1-eyeglasses.html,Silver,Wide,141 mm,John Jacobs,JJ E15268,eyeframe,1913,0.0,503,0,3500,3500
207654,https://www.lenskart.com/vincent-chase-vc-e15505-c1-eyeglasses.html,Silver,Medium,135 mm,Vincent Chase,VC E15505,eyeframe,3182,0.0,265,0,2000,2000
210235,https://www.lenskart.com/john-jacobs-jj-s15906-c2-sunglasses.html,Maroon,Wide,139 mm,John Jacobs,JJ S15906,sunglasses,538,0.0,477,0,6000,6000
144915,https://www.lenskart.com/john-jacobs-jj-e13583-c1-full-rim-eyeglasses.html,Sky Blue,Medium,135 mm,John Jacobs,JJ E13583,eyeframe,5239,4.75,1969,3197,5000,5000
149157,https://www.lenskart.com/john-jacobs-jj-e14130-c1-c1-eyeglasses.html,Gunmetal,Wide,140 mm,John Jacobs,JJ E14130,eyeframe,5103,4.5,397,159,5000,5000
201444,https://www.lenskart.com/john-jacobs-jj-e13590-c4-eyeglasses.html,Gold,Wide,138 mm,John Jacobs,JJ E13590,eyeframe,408,4.1,1211,0,5000,5000
210478,https://www.lenskart.com/hooper-hp-e10014m-c5-eyeglasses.html,Black,5-8 yrs,120 mm,Hooper,HP E10014M,eyeframe,1411,0.0,95,0,2000,1000
211338,https://www.lenskart.com/vincent-chase-vc-s16143-c8-sunglasses.html,Orange,Wide,141 mm,Vincent Chase Polarized,VC S16143,sunglasses,563,0.0,838,0,1500,1500
212598,https://www.lenskart.com/vincent-chase-vc-s16402-c1-sunglasses.html,Gold,Wide,143 mm,Vincent Chase Polarized,VC S16402,sunglasses,565,0.0,1551,0,2000,2000
213245,https://www.lenskart.com/vincent-chase-vc-s16542-c1-sunglasses.html,Silver,Wide,142 mm,Vincent Chase Polarized,VC S16542,sunglasses,171,0.0,1355,0,1500,1500
138329,https://www.lenskart.com/john-jacobs-jj-e13099-c1-eyeglasses.html,Black,Wide,138 mm,John Jacobs,JJ E13099,eyeframe,6635,4.25,1078,2020,3500,3500
146472,https://www.lenskart.com/john-jacobs-jj-e13745-c1-eyeglasses.html,Blue,Wide,138 mm,John Jacobs,JJ E13745,eyeframe,3496,4.55,230,1317,5000,5000
148304,https://www.lenskart.com/john-jacobs-jj-e14008m-c2-eyeglasses.html,Brown,Medium,134 mm,John Jacobs Online,JJ E14008M,eyeframe,2769,4.6,1694,457,3500,3500
206521,https://www.lenskart.com/john-jacobs-jj-e13914-c4-eyeglasses.html,Silver,Medium,136 mm,John Jacobs,JJ E13914,eyeframe,1315,5.0,251,0,5000,5000
209144,https://www.lenskart.com/bausch-lomb-lacelle-pemium-hazel1-lens-box.html,,,,Bausch & Lomb Lacelle,Bausch & Lomb Lacelle Hazel Zero Power Monthly,contact_lens,294,0.0,4704,0,550,550
211212,https://www.lenskart.com/vincent-chase-vc-e12423-c7-eyeglasses.html,Pink,Medium,136 mm,Vincent Chase,VC E12423,eyeframe,579,0.0,1561,0,1700,1700
131015,https://www.lenskart.com/vincent-chase-polarized-vc-s11075-c7-sunglasses.html,Silver,Medium,138 mm,Vincent Chase Polarized,VC S11075,sunglasses,23792,4.4,970,21990,2000,2000
143350,https://www.lenskart.com/john-jacobs-jj-e13466-c1-eyeglasses.html,Silver,Medium,137 mm,John Jacobs Online,JJ E13466,eyeframe,9366,4.7,732,1656,3500,3500
148385,https://www.lenskart.com/john-jacobs-jj-e13097xs-c2-eyeglasses.html,Purple,Extra Narrow,128 mm,John Jacobs,JJ E13097XS,eyeframe,1579,5.0,947,306,5000,5000
149082,https://www.lenskart.com/vincent-chase-vc-e14114-c1-c1-eyeglasses.html,Black,Extra Wide,142 mm,Vincent Chase,VC E14114,eyeframe,13778,4.6,115,5069,1700,1700
